material_name,amount,unit,impact_category,impact_category_unit,impact_score,lca_method,lca_database
Peas,1,kg,accumulated exceedance (AE),,0.00241723330099283,EF v3.1,ecoinvent-3.12
Peas,1,kg,global warming potential (GWP100),,0.4093060276070756,EF v3.1,ecoinvent-3.12
Peas,1,kg,global warming potential (GWP100),,0.0002809526499362504,EF v3.1,ecoinvent-3.12
Peas,1,kg,global warming potential (GWP100),,0.40855475647166517,EF v3.1,ecoinvent-3.12
Peas,1,kg,global warming potential (GWP100),,0.0004703184854741941,EF v3.1,ecoinvent-3.12
Peas,1,kg,comparative toxic unit for ecosystems (CTUe),,7.5794659119231085,EF v3.1,ecoinvent-3.12
Peas,1,kg,comparative toxic unit for ecosystems (CTUe),,3.6535825176402548,EF v3.1,ecoinvent-3.12
Peas,1,kg,comparative toxic unit for ecosystems (CTUe),,3.925883394282856,EF v3.1,ecoinvent-3.12
Peas,1,kg,abiotic depletion potential (ADP): fossil fuels,,3.608542731076722,EF v3.1,ecoinvent-3.12
Peas,1,kg,fraction of nutrients reaching freshwater end compartment (P),,0.0001598538569890039,EF v3.1,ecoinvent-3.12
Peas,1,kg,fraction of nutrients reaching marine end compartment (N),,0.012591620600043978,EF v3.1,ecoinvent-3.12
Peas,1,kg,accumulated exceedance (AE),,0.008957232909863201,EF v3.1,ecoinvent-3.12
Peas,1,kg,comparative toxic unit for human (CTUh),,3.014765061971872e-10,EF v3.1,ecoinvent-3.12
Peas,1,kg,comparative toxic unit for human (CTUh),,1.6970309708813702e-10,EF v3.1,ecoinvent-3.12
Peas,1,kg,comparative toxic unit for human (CTUh),,1.3177340910905024e-10,EF v3.1,ecoinvent-3.12
Peas,1,kg,comparative toxic unit for human (CTUh),,3.257294836363252e-08,EF v3.1,ecoinvent-3.12
Peas,1,kg,comparative toxic unit for human (CTUh),,3.1595350601368423e-08,EF v3.1,ecoinvent-3.12
Peas,1,kg,comparative toxic unit for human (CTUh),,9.775977622641046e-10,EF v3.1,ecoinvent-3.12
Peas,1,kg,human exposure efficiency relative to u235,,0.009601408686845734,EF v3.1,ecoinvent-3.12
Peas,1,kg,soil quality index,,156.34527869012908,EF v3.1,ecoinvent-3.12
Peas,1,kg,abiotic depletion potential (ADP): elements (ultimate reserves),,3.264814518563852e-06,EF v3.1,ecoinvent-3.12
Peas,1,kg,ozone depletion potential (ODP),,1.3079819638521673e-08,EF v3.1,ecoinvent-3.12
Peas,1,kg,impact on human health,,1.7281997591730597e-08,EF v3.1,ecoinvent-3.12
Peas,1,kg,tropospheric ozone concentration increase,,0.002626371918262963,EF v3.1,ecoinvent-3.12
Peas,1,kg,user deprivation potential (deprivation-weighted water consumption),,2.561227474092923,EF v3.1,ecoinvent-3.12
Cotton fiber,1,kg,accumulated exceedance (AE),,0.02097539764331403,EF v3.1,ecoinvent-3.12
Cotton fiber,1,kg,global warming potential (GWP100),,0.9834780805573564,EF v3.1,ecoinvent-3.12
Cotton fiber,1,kg,global warming potential (GWP100),,0.0003756358112430081,EF v3.1,ecoinvent-3.12
Cotton fiber,1,kg,global warming potential (GWP100),,0.7088829541609639,EF v3.1,ecoinvent-3.12
Cotton fiber,1,kg,global warming potential (GWP100),,0.27421949058514944,EF v3.1,ecoinvent-3.12
Cotton fiber,1,kg,comparative toxic unit for ecosystems (CTUe),,149.40879782849836,EF v3.1,ecoinvent-3.12
Cotton fiber,1,kg,comparative toxic unit for ecosystems (CTUe),,4.25563743390269,EF v3.1,ecoinvent-3.12
Cotton fiber,1,kg,comparative toxic unit for ecosystems (CTUe),,145.15316039459566,EF v3.1,ecoinvent-3.12
Cotton fiber,1,kg,abiotic depletion potential (ADP): fossil fuels,,5.437472871700578,EF v3.1,ecoinvent-3.12
Cotton fiber,1,kg,fraction of nutrients reaching freshwater end compartment (P),,0.0009511534567387994,EF v3.1,ecoinvent-3.12
Cotton fiber,1,kg,fraction of nutrients reaching marine end compartment (N),,0.021221144399064612,EF v3.1,ecoinvent-3.12
Cotton fiber,1,kg,accumulated exceedance (AE),,0.08927846104482257,EF v3.1,ecoinvent-3.12
Cotton fiber,1,kg,comparative toxic unit for human (CTUh),,-1.2242354735467544e-10,EF v3.1,ecoinvent-3.12
Cotton fiber,1,kg,comparative toxic unit for human (CTUh),,-2.9780231378523607e-10,EF v3.1,ecoinvent-3.12
Cotton fiber,1,kg,comparative toxic unit for human (CTUh),,1.7537876643056055e-10,EF v3.1,ecoinvent-3.12
Cotton fiber,1,kg,comparative toxic unit for human (CTUh),,6.378924202374136e-09,EF v3.1,ecoinvent-3.12
Cotton fiber,1,kg,comparative toxic unit for human (CTUh),,-1.3431666032518738e-08,EF v3.1,ecoinvent-3.12
Cotton fiber,1,kg,comparative toxic unit for human (CTUh),,1.981059023489289e-08,EF v3.1,ecoinvent-3.12
Cotton fiber,1,kg,human exposure efficiency relative to u235,,0.016500920019781287,EF v3.1,ecoinvent-3.12
Cotton fiber,1,kg,soil quality index,,97.38687188469044,EF v3.1,ecoinvent-3.12
Cotton fiber,1,kg,abiotic depletion potential (ADP): elements (ultimate reserves),,6.159456062935087e-06,EF v3.1,ecoinvent-3.12
Cotton fiber,1,kg,ozone depletion potential (ODP),,1.492253122041605e-08,EF v3.1,ecoinvent-3.12
